0.000	57.14
0.066	58.17
0.133	56.09
0.199	50.05
0.266	39.39
0.332	27.36
0.399	12.95
0.465	-1.534
0.532	-15.13
0.598	-26.89
0.665	-36.06
0.731	-41.89
0.798	-44.16
0.864	-42.89
0.931	-37.08
0.997	-29.27
1.064	-18.86
1.130	-6.869
1.197	6.858
1.264	20.30
1.330	33.21
1.397	44.29
1.463	52.21
1.530	56.00
1.596	56.27
1.663	53.19
1.729	47.05
1.796	36.95
1.862	24.30
1.929	10.20
1.995	-4.076
2.062	-16.63
2.128	-27.97
2.195	-36.10
2.261	-41.24
2.328	-42.79
2.394	-40.95
2.461	-34.93
2.528	-26.98
2.594	-15.89
2.661	-3.711
2.727	10.24
2.794	22.38
2.860	34.87
2.927	45.34
2.993	51.86
3.060	55.08
3.126	55.02
3.193	52.11
3.259	44.59
3.326	33.99
3.392	21.03
3.459	7.689
3.525	-6.275
3.592	-18.32
3.658	-28.74
3.725	-36.73
3.792	-41.08
3.858	-41.77
3.925	-38.99
3.991	-32.73
4.058	-24.39
4.124	-13.59
4.191	-0.640
4.257	11.46
4.324	24.70
4.390	35.49
4.457	45.34
4.523	52.14
4.590	55.04
4.656	54.00
4.723	50.02
4.789	42.17
4.856	32.17
4.922	19.02
4.989	4.657
5.055	-8.392
5.122	-20.36
5.188	-30.10
5.255	-36.68
5.322	-40.92
5.388	-40.84
5.455	-36.85
5.521	-30.76
5.588	-21.12
5.654	-10.81
5.721	1.100
5.787	13.97
5.854	26.29
5.920	38.07
5.987	46.23
6.053	51.97
6.120	54.13
6.186	52.54
6.253	48.06
6.319	39.94
6.386	27.31
6.452	15.15
6.519	2.234
6.586	-11.20
6.652	-22.10
6.719	-30.92
6.785	-36.78
6.852	-39.99
6.918	-39.33
6.985	-34.67
7.051	-28.01
7.118	-18.87
7.184	-7.014
7.251	4.904
7.317	17.04
7.384	28.99
7.450	39.02
7.517	47.22
7.583	51.71
7.650	53.22
7.716	51.20
7.783	45.93
7.850	37.25
7.916	26.12
7.983	13.11
8.049	0.150
8.116	-11.83
8.182	-22.90
8.249	-30.81
8.315	-37.00
8.382	-38.90
8.448	-37.67
8.515	-33.46
8.581	-26.17
8.648	-16.77
8.714	-5.790
8.781	6.143
8.847	18.46
8.914	29.51
8.980	40.11
9.047	47.11
9.113	51.25
9.180	52.17
9.247	49.17
9.313	43.41
9.380	34.47
9.446	23.08
9.513	10.93
9.579	-1.588
9.646	-13.70
9.712	-24.00
9.779	-31.02
9.845	-36.18
9.912	-37.95
9.978	-35.70
10.045	-30.82
10.111	-22.79
10.178	-13.59
10.244	-1.956
10.311	9.168
10.377	21.22
10.444	31.55
10.510	40.40
10.577	47.35
10.644	50.16
10.710	50.23
10.777	47.19
10.843	41.15
10.910	31.78
10.976	20.86
11.043	7.630
11.109	-4.568
11.176	-15.82
11.242	-25.67
11.309	-32.11
11.375	-35.64
11.442	-37.03
11.508	-34.61
11.575	-29.09
11.641	-21.64
11.708	-11.98
11.774	-0.659
11.841	11.37
11.907	22.44
11.974	33.32
12.041	41.50
12.107	47.13
12.174	49.87
12.240	49.09
12.307	45.12
12.373	38.76
12.440	29.39
12.506	18.00
12.573	5.207
12.639	-6.054
12.706	-17.18
12.772	-25.17
12.839	-31.70
12.905	-35.04
12.972	-35.57
13.038	-32.79
13.105	-26.82
13.171	-18.97
13.238	-8.435
13.305	2.478
13.371	13.10
13.438	24.26
13.504	34.12
13.571	42.15
13.637	47.05
13.704	49.03
13.770	48.12
13.837	44.01
13.903	36.70
13.970	27.38
14.036	15.16
14.103	3.054
14.169	-8.126
14.236	-17.91
14.302	-26.28
14.369	-31.90
14.435	-34.73
14.502	-33.87
14.569	-30.87
14.635	-24.95
14.702	-16.33
14.768	-6.350
14.835	3.941
14.901	15.38
14.968	25.80
15.034	35.73
15.101	42.92
15.167	47.01
15.234	47.95
15.300	46.40
15.367	41.97
15.433	33.95
15.500	24.15
15.566	13.43
15.633	2.093
15.699	-9.543
15.766	-18.86
15.832	-26.81
15.899	-31.00
15.966	-33.89
16.032	-32.84
16.099	-28.91
16.165	-22.69
16.232	-14.00
16.298	-4.341
16.365	6.559
16.431	17.02
